,zip,primary_city,state,county,latitude,longitude
13500,31031,Gordon,GA,Wilkinson County,32.88,-83.33
13501,31032,Gray,GA,Jones County,33.0,-83.53
13502,31033,Haddock,GA,Jones County,33.08,-83.44
13503,31034,Hardwick,GA,Baldwin County,32.99,-83.29
13504,31035,Harrison,GA,Washington County,32.82,-82.72
13505,31036,Hawkinsville,GA,Pulaski County,32.28,-83.47
13506,31037,Mc Rae Helena,GA,Telfair County,32.07,-82.91
13507,31038,Hillsboro,GA,Jasper County,33.14,-83.65
13508,31039,Howard,GA,Taylor County,32.6,-84.38
13509,31040,Dublin,GA,Laurens County,32.53,-82.92
13510,31041,Ideal,GA,Macon County,32.37,-84.18
13511,31042,Irwinton,GA,Wilkinson County,32.81,-83.17
13512,31044,Jeffersonville,GA,Twiggs County,32.68,-83.34
13513,31045,Jewell,GA,Warren County,33.28,-82.79
13514,31046,Juliette,GA,Monroe County,33.12,-83.82
13515,31047,Kathleen,GA,Houston County,32.45,-83.58
13516,31049,Kite,GA,Johnson County,32.69,-82.51
13517,31050,Knoxville,GA,Crawford County,32.74,-83.96
13518,31051,Lilly,GA,Dooly County,32.14,-83.87
13519,31052,Lizella,GA,Bibb County,32.76,-83.86
13520,31054,Mc Intyre,GA,Wilkinson County,32.84,-83.19
13521,31055,Mc Rae Helena,GA,Telfair County,32.06,-82.9
13522,31057,Marshallville,GA,Macon County,32.45,-83.94
13523,31058,Mauk,GA,Marion County,32.5,-84.37
13524,31059,Milledgeville,GA,Baldwin County,33.08,-83.3
13525,31060,Milan,GA,Telfair County,32.01,-83.06
13526,31061,Milledgeville,GA,Baldwin County,33.08,-83.23
13527,31062,Milledgeville,GA,Baldwin County,33.05,-83.22
13528,31063,Montezuma,GA,Macon County,32.29,-84.02
13529,31064,Monticello,GA,Jasper County,33.3,-83.68
13530,31065,Montrose,GA,Laurens County,32.56,-83.15
13531,31066,Musella,GA,Crawford County,32.83,-84.04
13532,31067,Oconee,GA,Washington County,32.85,-82.95
13533,31068,Oglethorpe,GA,Macon County,32.29,-84.06
13534,31069,Perry,GA,Houston County,32.46,-83.73
13535,31070,Pinehurst,GA,Dooly County,32.19,-83.76
13536,31071,Pineview,GA,Wilcox County,32.1,-83.5
13537,31072,Pitts,GA,Wilcox County,31.94,-83.54
13538,31075,Rentz,GA,Laurens County,32.38,-82.99
13539,31076,Reynolds,GA,Taylor County,32.55,-84.09
13540,31077,Rhine,GA,Dodge County,31.98,-83.2
13541,31078,Roberta,GA,Crawford County,32.71,-84.01
13542,31079,Rochelle,GA,Wilcox County,31.94,-83.45
13543,31081,Rupert,GA,Taylor County,32.42,-84.28
13544,31082,Sandersville,GA,Washington County,32.98,-82.81
13545,31083,Scotland,GA,Telfair County,32.04,-82.81
13546,31084,Seville,GA,Wilcox County,31.96,-83.61
13547,31085,Shady Dale,GA,Jasper County,33.4,-83.58
13548,31086,Smarr,GA,Monroe County,32.98,-83.87
13549,31087,Sparta,GA,Hancock County,33.27,-82.97
13550,31088,Warner Robins,GA,Houston County,32.61,-83.63
13551,31089,Tennille,GA,Washington County,32.93,-82.81
13552,31090,Toomsboro,GA,Wilkinson County,32.82,-83.08
13553,31091,Unadilla,GA,Dooly County,32.25,-83.73
13554,31092,Vienna,GA,Dooly County,32.08,-83.79
13555,31093,Warner Robins,GA,Houston County,32.65,-83.66
13556,31094,Warthen,GA,Washington County,33.13,-82.79
13557,31095,Warner Robins,GA,Houston County,32.61,-83.63
13558,31096,Wrightsville,GA,Johnson County,32.72,-82.72
13559,31097,Yatesville,GA,Upson County,32.91,-84.14
13560,31098,Warner Robins,GA,Houston County,32.61,-83.57
13561,31099,Warner Robins,GA,Houston County,32.61,-83.63
13562,31106,Atlanta,GA,Fulton County,33.76,-84.42
13563,31107,Atlanta,GA,Fulton County,33.76,-84.42
13564,31119,Atlanta,GA,Fulton County,33.76,-84.42
13566,31126,Atlanta,GA,Fulton County,33.76,-84.42
13567,31131,Atlanta,GA,Fulton County,33.76,-84.42
13568,31136,Atlanta,GA,Fulton County,33.72,-84.58
13569,31139,Atlanta,GA,Fulton County,33.76,-84.42
13570,31141,Atlanta,GA,Fulton County,33.76,-84.42
13572,31145,Atlanta,GA,Fulton County,33.76,-84.42
13573,31146,Atlanta,GA,Fulton County,33.76,-84.42
13574,31150,Atlanta,GA,Fulton County,33.76,-84.42
13575,31156,Atlanta,GA,Fulton County,33.76,-84.42
13576,31169,Peachtree City,GA,Fayette County,33.38,-84.79
13578,31192,Atlanta,GA,Fulton County,33.76,-84.42
13579,31193,Atlanta,GA,Fulton County,33.76,-84.42
13580,31195,Atlanta,GA,Fulton County,33.76,-84.42
13581,31196,Atlanta,GA,Fulton County,33.76,-84.42
13585,31201,Macon,GA,Bibb County,32.8,-83.62
13586,31202,Macon,GA,Bibb County,32.83,-83.65
13587,31203,Macon,GA,Bibb County,32.83,-83.65
13588,31204,Macon,GA,Bibb County,32.85,-83.67
13589,31205,Macon,GA,Bibb County,32.83,-83.65
13590,31206,Macon,GA,Bibb County,32.8,-83.69
13591,31207,Macon,GA,Bibb County,32.83,-83.65
13592,31208,Macon,GA,Bibb County,32.83,-83.65
13593,31209,Macon,GA,Bibb County,32.83,-83.65
13594,31210,Macon,GA,Bibb County,32.91,-83.74
13595,31211,Macon,GA,Bibb County,32.9,-83.58
13597,31213,Macon,GA,Bibb County,32.84,-83.64
13598,31216,Macon,GA,Bibb County,32.73,-83.69
13599,31217,Macon,GA,Bibb County,32.84,-83.5
13600,31220,Macon,GA,Bibb County,32.87,-83.81
13601,31221,Macon,GA,Bibb County,32.83,-83.65
13602,31294,Macon,GA,Bibb County,32.83,-83.65
